Nr,Locus,Segregation,Phase,Classification,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
10,PM1279_162,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,ll,ll,ll,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,lm,ll,lm,ll,ll,ll,ll,ll,lm,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,--,ll,lm,ll,ll,lm,ll,lm,lm,ll,lm,ll,ll,ll,ll,lm,ll,lm
11,stsnp_c1_15714,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,--,ll,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,ll,ll,ll,--,lm,--,ll,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,ll,lm,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm
12,PM0212_187,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,ll,lm,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm
13,PM0531_176,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,lm,lm,ll,lm,ll,--,ll,lm,ll,lm,ll,lm,--,ll,lm,--,lm,lm,ll,lm,--,--,ll,ll,lm,lm,lm
14,pPt-653070,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,--,ll,lm,lm,lm,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,ll,lm,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm
15,stsnp_c1_14565,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,ll,lm,lm,ll,lm,ll,ll,ll,ll,lm,lm,lm
16,stsnp_c1_806,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,ll,lm,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,--,lm,--,ll,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,lm,lm
17,pPt-458291,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,--,ll,lm,lm,lm,lm,ll,ll,lm,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,lm,lm
18,stsnp_c1_13685,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,--,--,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,lm,ll,ll,lm,lm,ll,ll,--,--,lm,--,--,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,lm,lm
19,MICRO.8112.C1_325,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,--,ll,--,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,lm,lm
20,stsnp_c1_4754,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,--,--,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,lm,lm,ll,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,ll,lm,lm,ll,ll,ll,--,ll,--,--,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,--,lm,lm,lm
21,stsnp_c1_4765,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,--,--,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,lm,lm,ll,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,ll,lm,lm,ll,ll,--,--,ll,--,--,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,lm,lm
22,pPt-459313,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,lm,lm
